##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR21623193_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	55419239
Total Bases	7.6 Gbp
Sequences flagged as poor quality	0
Sequence length	92-141
%GC	44
>>END_MODULE
1118	95-99	0.005335113672181535
1118	100-104	-0.02203719232495871
1118	105-109	-0.09478894311588704
1118	110-114	-0.018127477572896566
1118	115-119	-0.03827076795004558
1118	120-124	-0.0473208311416613
1118	125-129	-0.0371885210260956
1118	130-134	-0.07256712607603788
1118	135-139	-0.05192479261016558
1118	140-141	-0.08365347849478866
1119	1	-5.060184187684058E-4
1119	2	-0.052386976878231906
1119	3	-0.045589484904546396
1119	4	0.07082137407513045
1119	5	-0.06620194727663176
1119	6	-0.029510558209132398
1119	7	-0.03549781311330236
1119	8	-0.07125575339648549
1119	9	-0.03234583393491164
1119	10-14	-0.00381798568172087
1119	15-19	-4.448038070066218E-4
1119	20-24	-0.02975515117334737
1119	25-29	-0.025169373075542012
1119	30-34	-0.03348992428044539
1119	35-39	-0.025760168289529872
1119	40-44	-0.021453945790185003
1119	45-49	-0.06458476469429542
1119	50-54	-0.041085952456327846
1119	55-59	-0.0256835178143362
1119	60-64	-0.0363859263505546
1119	65-69	-0.04416247977494692
1119	70-74	-0.07064302818373847
1119	75-79	-0.04698084450389928
1119	80-84	-0.06992628853195271
1119	85-89	-0.0991190292486337
1119	90-94	-0.08528825034503029
1119	95-99	-0.08463746328558841
1119	100-104	-0.0884151094014527
1119	105-109	-0.06679858361130897
1119	110-114	-0.05479260679580733
1119	115-119	-0.0504248037098165
1119	120-124	-0.1037260839384615
1119	125-129	-0.039773548000390235
1119	130-134	-0.07075235544966318
1119	135-139	-0.08486480345870717
1119	140-141	-0.01982419417118564
1120	1	0.02550634155944209
1120	2	-0.038254507337796895
1120	3	-0.012012548101800746
1120	4	0.04093727967490679
1120	5	-0.0384097942472863
1120	6	-0.13818746005491533
1120	7	-0.013342584126952772
1120	8	-0.008198141951780258
1120	9	0.009894587812148359
1120	10-14	-0.0059719916307940935
1120	15-19	0.020640358834128847
1120	20-24	-0.030069490007612387
1120	25-29	-0.01342858031008376
1120	30-34	-0.012624908349025077
1120	35-39	0.0027997600806415335
1120	40-44	0.012832352632742072
1120	45-49	-0.042290072949882074
1120	50-54	-0.004507280583531781
1120	55-59	0.0080190084878069
1120	60-64	0.026342012658219005
1120	65-69	0.0015827652112889723
1120	70-74	-0.0018933647471754966
1120	75-79	0.006460043092587853
1120	80-84	0.004636270281075383
1120	85-89	-0.05056444938476545
1120	90-94	-0.033842242442908343
1120	95-99	-0.012553974075942165
1120	100-104	-0.047384649138116686
1120	105-109	-0.016993854168781297
1120	110-114	-0.0509595530652831
1120	115-119	-0.0010832740111013095
1120	120-124	-0.04914235682068124
1120	125-129	-0.011202624912804993
1120	130-134	-0.011362091439565347
1120	135-139	-0.09753611939067497
1120	140-141	0.05424603413786144
1121	1	0.028341264271418254
1121	2	-0.032501269570495595
1121	3	-0.03898067888387402
1121	4	-0.025710417219180215
1121	5	-0.07786306927904718
1121	6	-0.004058321531175579
